CUISINE_TYPE,RECIPE_ID
mediterranean,779030
european,779030
italian,779030
southern,570773
american,827452
american,587232
asian,615266
indian,615266
mediterranean,77003
european,77003
italian,77003
mediterranean,698480
european,698480
italian,698480
mexican,697617
american,589805
asian,302120
indian,302120
chines,98973
asian,98973
american,528821
american,740198
chines,246904
asian,246904
mexican,549417
mexican,445405
middl eastern,559543
american,718862
american,604218
mediterranean,765143
european,765143
french,765143
american,745043
asian,719156
vietnames,719156
asian,553213
thai,553213
mexican,798939
mediterranean,760582
european,760582
italian,760582
african,93984
mexican,300441
mediterranean,591620
european,591620
italian,591620
mexican,526152
mediterranean,522725
european,522725
italian,522725
american,82893
southern,71010
greek,586245
mediterranean,586245
european,586245
mediterranean,545724
european,545724
italian,545724
american,245520
american,484709
asian,557140
thai,557140
mediterranean,382767
european,382767
french,382767
mediterranean,446297
european,446297
italian,446297
american,44406
mexican,567987
american,522222
southern,597050
southern,481734
chines,520312
asian,520312
mediterranean,553948
european,553948
italian,553948
mexican,536976
asian,224456
indian,224456
american,63863
greek,506631
mediterranean,506631
european,506631
mediterranean,669163
european,669163
italian,669163
asian,760256
thai,760256
mexican,522169
mexican,621207
asian,628651
korean,628651
greek,629231
mediterranean,629231
european,629231
mediterranean,469201
european,469201
italian,469201
mediterranean,510529
european,510529
italian,510529
southern,694468
american,733264
southern,610443
spanish,568430
european,568430
mediterranean,590935
european,590935
italian,590935
southern,71064
mediterranean,197501
european,197501
italian,197501
american,604141
mediterranean,800691
european,800691
french,800691
asian,478335
korean,478335
mediterranean,15221
european,15221
italian,15221
european,537441
english,537441
british,537441
scottish,537441
mediterranean,477337
european,477337
italian,477337
american,309235
american,248890
american,63506
american,591671
asian,679194
indian,679194
southern,775112
spanish,603393
european,603393
american,629795
asian,744940
indian,744940
american,518812
mexican,743501
middl eastern,103610
mediterranean,770632
european,770632
italian,770632
mediterranean,379516
european,379516
italian,379516
american,613093
asian,697679
vietnames,697679
mexican,565371
mexican,83935
southern,717197
greek,337404
mediterranean,337404
european,337404
asian,472346
indian,472346
american,591068
european,209816
eastern european,209816
mediterranean,562855
european,562855
italian,562855
southern,600251
american,410928
mexican,16740
american,198955
asian,248421
thai,248421
mexican,618875
mexican,551968
mexican,26286
mediterranean,222046
european,222046
italian,222046
greek,645265
mediterranean,645265
european,645265
japanes,549759
asian,549759
german,428966
european,428966
american,35587
mediterranean,606358
european,606358
french,606358
american,631596
american,593821
mexican,588012
american,578263
american,800971
american,131256
mediterranean,249180
european,249180
french,249180
american,591695
american,590092
american,619499
american,541648
mediterranean,494138
european,494138
italian,494138
american,517160
american,550023
american,505362
mediterranean,584687
european,584687
french,584687
southern,612141
asian,669040
vietnames,669040
asian,796039
thai,796039
american,551620
jewish,195611
middl eastern,792867
european,612392
english,612392
british,612392
scottish,612392
chines,567804
asian,567804
american,527096
mediterranean,570468
european,570468
italian,570468
asian,205578
indian,205578
american,63623
southern,515227
japanes,812047
asian,812047
mediterranean,550372
european,550372
french,550372
chines,764646
asian,764646
greek,199909
mediterranean,199909
european,199909
mediterranean,521953
european,521953
italian,521953
southern,627065
mexican,490658
american,592303
mediterranean,524977
european,524977
french,524977
mediterranean,471467
european,471467
french,471467
american,615761
mexican,6013
mexican,299060
mexican,495413
american,573127
american,522696
middl eastern,584327
american,624031
american,517512
mediterranean,380105
european,380105
italian,380105
chines,225938
asian,225938
american,183972
mediterranean,69527
european,69527
italian,69527
american,519019
mexican,559227
mediterranean,513052
european,513052
italian,513052
german,570036
european,570036
mexican,577741
asian,759980
indian,759980
middl eastern,68354
asian,492996
indian,492996
american,624763
southern,572425
mediterranean,203932
european,203932
italian,203932
southern,518682
mediterranean,385028
european,385028
italian,385028
mexican,591937
asian,198974
thai,198974
mexican,80682
american,538915
american,606352
cajun,587089
creol,587089
mediterranean,178689
european,178689
italian,178689
american,621883
southern,217555
mediterranean,450833
european,450833
french,450833
chines,760573
asian,760573
chines,600352
asian,600352
japanes,796817
asian,796817
mediterranean,214537
european,214537
italian,214537
african,697214
mexican,609016
european,602386
english,602386
british,602386
scottish,602386
mexican,567866
american,82747
american,480492
southern,617296
mediterranean,536634
european,536634
italian,536634
mexican,278503
chines,591719
asian,591719
mediterranean,624957
european,624957
italian,624957
american,607717
asian,101125
indian,101125
mediterranean,463353
european,463353
italian,463353
mediterranean,615898
european,615898
italian,615898
american,16697
chines,602320
asian,602320
mediterranean,579270
european,579270
italian,579270
american,170891
asian,195928
vietnames,195928
american,620387
asian,519717
indian,519717
american,487820
southern,507599
mediterranean,782584
european,782584
italian,782584
mexican,485768
mediterranean,490481
european,490481
italian,490481
mediterranean,498193
european,498193
french,498193
mediterranean,680462
european,680462
italian,680462
mediterranean,542087
european,542087
french,542087
american,595333
mexican,481325
mediterranean,580203
european,580203
italian,580203
american,599703
mediterranean,536006
european,536006
italian,536006
spanish,7810
european,7810
mediterranean,180406
european,180406
italian,180406
mediterranean,548982
european,548982
french,548982
mexican,535651
european,546048
english,546048
british,546048
scottish,546048
mexican,608772
mediterranean,567679
european,567679
italian,567679
mexican,443319
spanish,514619
european,514619
american,772908
american,576041
american,493349
mediterranean,82656
european,82656
italian,82656
greek,626102
mediterranean,626102
european,626102
asian,579929
indian,579929
american,495804
greek,720368
mediterranean,720368
european,720368
middl eastern,207231
japanes,479785
asian,479785
cajun,213374
creol,213374
american,549663
mediterranean,605083
european,605083
italian,605083
mexican,489459
asian,564932
korean,564932
american,177625
german,492053
european,492053
southern,214087
american,506762
asian,696466
indian,696466
mexican,26623
mexican,626605
american,206512
american,497618
american,516595
european,628712
english,628712
british,628712
scottish,628712
american,506533
jewish,747463
southern,176918
american,120144
jewish,81299
american,260225
greek,491834
mediterranean,491834
european,491834
mediterranean,527321
european,527321
italian,527321
japanes,748864
asian,748864
mediterranean,590011
european,590011
french,590011
american,599496
american,185079
mediterranean,494973
european,494973
italian,494973
mediterranean,456002
european,456002
italian,456002
asian,624865
indian,624865
caribbean,468564
central american,468564
middl eastern,22190
mexican,484256
american,5840
american,547488
american,593100
american,63883
mediterranean,518317
european,518317
italian,518317
mediterranean,542880
european,542880
french,542880
american,590605
asian,41530
vietnames,41530
american,525269
mexican,386184
mediterranean,742154
european,742154
french,742154
american,516491
mediterranean,560390
european,560390
italian,560390
mediterranean,566171
european,566171
italian,566171
mediterranean,578320
european,578320
italian,578320
mexican,491556
southern,524707
american,500498
mediterranean,694152
european,694152
french,694152
mediterranean,603881
european,603881
italian,603881
mediterranean,18317
european,18317
italian,18317
asian,17690
thai,17690
american,598944
southern,488750
southern,609996
mexican,629789
american,523657
mediterranean,214208
european,214208
italian,214208
american,601389
mexican,197806
mexican,796996
mediterranean,55118
european,55118
french,55118
asian,619664
thai,619664
american,717259
greek,559200
mediterranean,559200
european,559200
european,484961
eastern european,484961
mediterranean,311368
european,311368
italian,311368
american,717222
mediterranean,672895
european,672895
italian,672895
mediterranean,109560
european,109560
italian,109560
american,185088
chines,215432
asian,215432
mexican,626063
german,698275
european,698275
american,178488
american,548000
mediterranean,8878
european,8878
italian,8878
mexican,496124
middl eastern,601628
mediterranean,551930
european,551930
italian,551930
american,103945
chines,499291
asian,499291
mediterranean,697170
european,697170
italian,697170
mexican,615845
mediterranean,628984
european,628984
italian,628984
southern,203088
american,592531
greek,743730
mediterranean,743730
european,743730
american,514303
spanish,78862
european,78862
middl eastern,687234
southern,43230
southern,499817
mediterranean,553028
european,553028
italian,553028
mediterranean,516895
european,516895
italian,516895
spanish,553024
european,553024
mexican,749515
american,620388
american,619296
jewish,599344
american,16887
american,71933
mexican,200750
asian,221954
indian,221954
mexican,510388
mediterranean,615464
european,615464
italian,615464
mexican,3508
american,572273
cajun,602073
creol,602073
mexican,101494
mexican,598865
asian,80253
vietnames,80253
south american,687713
latin american,687713
american,381370
american,582404
european,250509
english,250509
british,250509
scottish,250509
japanes,227069
asian,227069
mexican,557675
scandinavian,64517
european,64517
nordic,64517
southern,243583
mediterranean,244032
european,244032
italian,244032
american,526473
american,588196
american,523051
mediterranean,812032
european,812032
italian,812032
american,810112
jewish,115941
mexican,597973
southern,610861
asian,103967
indian,103967
mexican,226404
american,519882
mexican,531091
american,608310
southern,49219
american,2717
mediterranean,547960
european,547960
italian,547960
american,472322
european,97372
irish,97372
mexican,741334
asian,527305
vietnames,527305
mexican,710514
mexican,670104
mediterranean,250991
european,250991
italian,250991
american,810824
southern,79013
american,622380
american,623102
jewish,141351
mediterranean,619846
european,619846
italian,619846
mediterranean,759965
european,759965
italian,759965
southern,525968
mediterranean,471633
european,471633
italian,471633
european,452673
english,452673
british,452673
scottish,452673
american,443992
cajun,586424
creol,586424
mexican,479488
american,769569
mediterranean,570231
european,570231
italian,570231
spanish,792067
european,792067
american,632573
asian,602160
vietnames,602160
american,63555
american,604245
american,528353
asian,762620
thai,762620
southern,170959
american,583146
jewish,387076
middl eastern,480132
asian,589873
indian,589873
mediterranean,28378
european,28378
french,28378
mexican,399674
mediterranean,507446
european,507446
italian,507446
american,737832
european,484826
english,484826
british,484826
scottish,484826
american,682952
mexican,499388
american,198960
mexican,629747
american,558437
american,586540
american,60251
mediterranean,613247
european,613247
italian,613247
german,621568
european,621568
mexican,669026
mediterranean,537121
european,537121
italian,537121
american,228701
southern,139335
american,550134
european,696349
eastern european,696349
american,63993
chines,530523
asian,530523
american,484074
asian,695633
thai,695633
cajun,223815
creol,223815
mediterranean,620810
european,620810
italian,620810
mediterranean,211769
european,211769
italian,211769
mediterranean,599524
european,599524
italian,599524
mexican,549630
american,442345
european,485370
eastern european,485370
asian,694956
indian,694956
mediterranean,10873
european,10873
italian,10873
american,25597
american,252598
american,218277
south american,613387
latin american,613387
mediterranean,539934
european,539934
italian,539934
american,631482
american,300250
mediterranean,524609
european,524609
italian,524609
middl eastern,27556
cajun,458451
creol,458451
american,493563
american,826852
american,517122
mexican,540483
mediterranean,47066
european,47066
italian,47066
cajun,30786
creol,30786
mexican,702169
greek,49655
mediterranean,49655
european,49655
american,610197
chines,491706
asian,491706
mediterranean,536178
european,536178
italian,536178
asian,553299
thai,553299
american,477967
southern,524802
chines,771910
asian,771910
asian,523697
thai,523697
southern,496859
european,143242
eastern european,143242
southern,538462
mediterranean,206686
european,206686
italian,206686
mediterranean,26837
european,26837
italian,26837
american,210598
asian,625734
indian,625734
mediterranean,594939
european,594939
italian,594939
chines,344315
asian,344315
european,760569
english,760569
british,760569
scottish,760569
mexican,516845
mediterranean,516340
european,516340
italian,516340
spanish,514924
european,514924
asian,497635
indian,497635
european,431624
irish,431624
mediterranean,204312
european,204312
french,204312
mediterranean,548063
european,548063
french,548063
american,259861
chines,600643
asian,600643
asian,517016
indian,517016
chines,201182
asian,201182
greek,696587
mediterranean,696587
european,696587
southern,538660
mediterranean,752729
european,752729
italian,752729
mediterranean,580853
european,580853
italian,580853
mediterranean,246727
european,246727
italian,246727
southern,35223
mexican,5624
cajun,244749
creol,244749
american,525025
southern,669403
american,29160
mediterranean,509907
european,509907
italian,509907
american,479105
mexican,108060
american,568025
asian,616733
indian,616733
american,60938
mexican,570746
mediterranean,549935
european,549935
italian,549935
mexican,666732
american,179962
american,626125
american,516933
american,527115
cajun,595716
creol,595716
greek,596899
mediterranean,596899
european,596899
mediterranean,601755
european,601755
italian,601755
caribbean,53912
central american,53912
mediterranean,244048
european,244048
french,244048
asian,715370
korean,715370
american,605534
mediterranean,547298
european,547298
italian,547298
southern,512848
american,738030
american,245817
southern,759813
mexican,668033
european,810028
english,810028
british,810028
scottish,810028
mediterranean,755404
european,755404
italian,755404
southern,603062
mexican,219618
american,520147
american,585886
asian,592104
indian,592104
american,749976
american,592563
american,673137
mexican,196200
american,553839
jewish,197795
mediterranean,115571
european,115571
italian,115571
mexican,549405
american,250519
mediterranean,563914
european,563914
italian,563914
mediterranean,211413
european,211413
italian,211413
mexican,23189
american,343531
mexican,304769
south american,479065
latin american,479065
asian,201939
indian,201939
american,526606
american,45022
european,576841
eastern european,576841
asian,680128
thai,680128
european,746536
eastern european,746536
mexican,472205
asian,529578
thai,529578
jewish,498892
american,496877
mediterranean,554183
european,554183
italian,554183
american,772901
southern,810218
american,125972
mediterranean,534123
european,534123
italian,534123
greek,535648
mediterranean,535648
european,535648
greek,725457
mediterranean,725457
european,725457
american,54607
mexican,352968
mexican,591442
american,485396
mexican,611719
american,484477
mexican,584663
mediterranean,600356
european,600356
italian,600356
mexican,552690
asian,591523
indian,591523
southern,760531
mediterranean,428563
european,428563
italian,428563
mediterranean,99027
european,99027
italian,99027
american,214778
asian,764910
indian,764910
asian,719741
indian,719741
american,572863
mexican,262890
cajun,147665
creol,147665
greek,796826
mediterranean,796826
european,796826
mexican,542569
mexican,627085
southern,358292
mexican,407315
mexican,617472
american,553574
mexican,499965
spanish,577415
european,577415
mexican,583644
mexican,519268
american,137778
mexican,510139
scandinavian,731404
european,731404
nordic,731404
asian,597489
indian,597489
american,697808
american,205196
asian,139593
indian,139593
southern,144051
american,612055
american,684392
american,243618
mexican,483065
mexican,415956
american,530495
american,567246
mediterranean,617672
european,617672
italian,617672
mediterranean,748084
european,748084
french,748084
american,600694
mexican,628909
mediterranean,509839
european,509839
french,509839
greek,491982
mediterranean,491982
european,491982
southern,612646
american,480608
southern,513386
mexican,472689
mexican,698650
american,59875
greek,483468
mediterranean,483468
european,483468
american,617003
chines,517808
asian,517808
european,471559
irish,471559
european,48611
english,48611
british,48611
scottish,48611
mexican,173978
mexican,583483
european,551385
eastern european,551385
mexican,552925
mexican,508595
american,554575
american,570415
mediterranean,534571
european,534571
french,534571
asian,446879
thai,446879
mexican,731355
american,535570
european,691038
english,691038
british,691038
scottish,691038
american,565571
mexican,601181
american,677656
mexican,627166
american,474540
southern,486641
american,63450
mexican,146032
asian,666509
vietnames,666509
southern,772858
mexican,631557
asian,38945
korean,38945
mediterranean,583286
european,583286
french,583286
american,596267
mediterranean,554551
european,554551
italian,554551
asian,78849
indian,78849
american,615257
greek,23310
mediterranean,23310
european,23310
southern,95593
mexican,583823
south american,494345
latin american,494345
european,495410
irish,495410
mexican,562448
southern,616818
american,628784
mediterranean,200004
european,200004
italian,200004
american,517324
chines,615715
asian,615715
mediterranean,222661
european,222661
italian,222661
mediterranean,28809
european,28809
italian,28809
japanes,483951
asian,483951
german,446471
european,446471
american,506594
american,718236
southern,47689
mediterranean,39286
european,39286
italian,39286
american,495638
mexican,698017
asian,762191
indian,762191
cajun,34923
creol,34923
american,521366
american,195552
mexican,559324
american,739417
european,675361
english,675361
british,675361
scottish,675361
spanish,666836
european,666836
greek,386672
mediterranean,386672
european,386672
cajun,448470
creol,448470
american,824146
scandinavian,147332
european,147332
nordic,147332
american,518889
cajun,435891
creol,435891
american,213675
asian,600691
indian,600691
asian,550770
indian,550770
asian,248983
vietnames,248983
american,617665
southern,496083
mediterranean,561627
european,561627
italian,561627
asian,248051
thai,248051
mediterranean,589897
european,589897
italian,589897
mediterranean,594592
european,594592
italian,594592
european,93031
irish,93031
american,532320
mexican,407151
mexican,557420
european,566588
irish,566588
greek,743138
mediterranean,743138
european,743138
american,486010
american,754634
mexican,680220
asian,565588
indian,565588
greek,249144
mediterranean,249144
european,249144
american,798642
mexican,78254
american,247930
chines,607053
asian,607053
southern,826020
european,478380
english,478380
british,478380
scottish,478380
mediterranean,196597
european,196597
italian,196597
mediterranean,480284
european,480284
italian,480284
american,517893
european,221907
english,221907
british,221907
scottish,221907
american,618148
mexican,496435
american,597651
greek,532569
mediterranean,532569
european,532569
european,720302
irish,720302
american,249358
mediterranean,492006
european,492006
italian,492006
mediterranean,15108
european,15108
italian,15108
american,349791
american,210081
mediterranean,622681
european,622681
italian,622681
japanes,602623
asian,602623
middl eastern,532457
mediterranean,796871
european,796871
italian,796871
mediterranean,706022
european,706022
italian,706022
cajun,137924
creol,137924
jewish,697288
american,729476
american,608708
german,674627
european,674627
mexican,609291
mediterranean,539846
european,539846
italian,539846
middl eastern,490336
american,731449
mexican,499046
mediterranean,413283
european,413283
italian,413283
mediterranean,583704
european,583704
italian,583704
american,599456
asian,676837
vietnames,676837
chines,202926
asian,202926
american,511106
mediterranean,620293
european,620293
italian,620293
southern,286654
mexican,747171
mexican,291052
southern,761260
mediterranean,485412
european,485412
french,485412
american,446100
asian,730422
thai,730422
southern,489215
mexican,740384
american,402402
mexican,597164
mediterranean,548235
european,548235
italian,548235
cajun,508918
creol,508918
mediterranean,522475
european,522475
french,522475
mediterranean,606436
european,606436
italian,606436
greek,4387
mediterranean,4387
european,4387
asian,474443
vietnames,474443
southern,139575
mexican,99317
southern,586888
southern,683444
mediterranean,756247
european,756247
italian,756247
mexican,604746
european,574367
english,574367
british,574367
scottish,574367
american,611739
asian,586740
indian,586740
european,599640
eastern european,599640
middl eastern,609218
american,63569
american,770066
southern,605428
american,214806
mediterranean,568528
european,568528
french,568528
middl eastern,556662
mediterranean,19709
european,19709
italian,19709
mediterranean,200944
european,200944
italian,200944
cajun,586287
creol,586287
middl eastern,611548
european,528129
english,528129
british,528129
scottish,528129
mexican,517947
mediterranean,677786
european,677786
italian,677786
european,56284
irish,56284
greek,552637
mediterranean,552637
european,552637
asian,546611
indian,546611
american,504747
asian,472096
indian,472096
southern,572859
scandinavian,444208
european,444208
nordic,444208
mediterranean,738172
european,738172
italian,738172
mexican,616089
european,545468
english,545468
british,545468
scottish,545468
american,590726
mediterranean,90926
european,90926
italian,90926
mediterranean,756693
european,756693
italian,756693
american,668315
chines,520702
asian,520702
american,222707
asian,794052
vietnames,794052
american,33803
european,395102
english,395102
british,395102
scottish,395102
american,483129
american,463108
japanes,619748
asian,619748
american,572009
spanish,196171
european,196171
mediterranean,479167
european,479167
french,479167
american,826455
mediterranean,178467
european,178467
italian,178467
southern,620646
american,63368
mexican,214316
southern,475979
mexican,594807
mexican,736783
mexican,4881
mediterranean,620713
european,620713
italian,620713
american,63938
southern,667873
european,618573
english,618573
british,618573
